Date,Local Route,Local Route_Lower,Local Route_Upper,Light Rail,Light Rail_Lower,Light Rail_Upper,Peak Service,Peak Service_Lower,Peak Service_Upper,Rapid Route,Rapid Route_Lower,Rapid Route_Upper,School,School_Lower,School_Upper
2024-09-30,4106,0,10076,2378,0,4820,165,43,287,3451,0,8400,1411,0,3834
2024-10-01,4802,0,11281,2463,0,5151,177,46,309,3831,0,9283,1483,0,4348
2024-10-02,4622,0,11308,2344,0,5164,179,45,313,3539,0,9190,1412,0,4458
2024-10-03,4272,0,11102,2084,0,5001,148,13,284,3261,0,9065,1275,0,4414
2024-10-04,3291,0,10239,1126,0,4142,83,0,220,1076,0,7029,1097,0,4293
2024-10-05,3590,0,3729,4723,0,1294,193,0,74,6468,0,1232,568,0,2524
2024-10-06,1954,0,2664,3425,0,233,193,0,78,5002,0,266,568,0,2544
